# 内蒙古12盟市观测数据 | 日期: 20250102 | 起报: 20时(BJT) | 时效: 12h
# station_id|name|lon|lat|precip_12h|precip_1h|wind_max_mps|wind_max_grade
50527|呼伦贝尔|119.8|49.2|0.00|0.00|0.50|0
50842|兴安盟|122.1|46.1|0.00|0.00|0.50|0
52576|阿拉善|105.7|38.9|0.00|0.00|0.50|0
53439|巴彦淖尔|107.4|40.7|0.00|0.00|0.50|0
53463|呼和浩特|111.7|40.8|5.20|2.10|8.30|5
53466|包头|109.8|40.7|3.10|1.20|6.50|4
53479|乌兰察布|113.1|41.0|0.00|0.00|0.50|0
53512|乌海|106.8|39.6|0.00|0.00|0.50|0
53543|鄂尔多斯|109.8|39.6|0.00|0.00|0.50|0
54102|锡林郭勒|116.0|44.0|0.00|0.00|0.50|0
54135|通辽|122.3|43.6|0.00|0.00|0.50|0
54218|赤峰|119.0|42.3|0.00|0.00|0.50|0
