# 内蒙古自治区多源融合预报
# 起报时间: 20260609 08:00 (BT)
# 预报时效: 12 小时
# 融合方法: weighted_average

序号,城市,经度,纬度,12小时累计降水量(mm),最大小时降水量(mm/h),最大风力等级(级),12小时累计降水量_标准差,最大小时降水量_标准差,最大风力等级_标准差,12小时累计降水量_数据源数,最大小时降水量_数据源数,最大风力等级_数据源数
1,呼和浩特,111.65,40.82,1.6,0.7,8,1.3,0.6,22,2,2,3
2,包头,109.85,40.66,1.4,0.4,7,1.1,0.3,23,2,2,3
3,乌海,106.78,39.65,2.1,0.9,8,1.8,0.7,22,2,2,3
4,赤峰,118.95,42.28,1.9,0.7,9,1.6,0.6,49,2,2,3
5,通辽,122.28,43.61,2.4,1.1,10,2.0,0.9,48,2,2,3
6,鄂尔多斯,109.78,39.61,2.6,1.2,6,2.2,1.0,24,2,2,3
7,呼伦贝尔,119.75,49.22,2.0,0.6,9,1.7,0.5,52,2,2,3
8,巴彦淖尔,107.38,40.74,0.8,0.3,14,0.7,0.3,23,2,2,3
9,乌兰察布,113.12,41.03,1.2,0.4,7,1.0,0.3,22,2,2,3
10,兴安盟,122.07,46.07,2.3,1.0,9,1.9,0.8,50,2,2,3
11,锡林郭勒,116.03,43.95,0.9,0.3,10,0.7,0.2,49,2,2,3
12,阿拉善,105.73,38.85,2.1,0.6,5,1.7,0.5,1,2,2,3

=== 各数据源详细数据 ===
城市,变量,EC,GRAPES,GRAPES_MESO,NCEP,OBS,融合结果
呼和浩特,12小时累计降水量,-0.0,-,-,0.0,2.6,1.6
呼和浩特,最大小时降水量,-0.0,-,-,0.0,1.2,0.7
呼和浩特,最大风力等级,12,-,-,56,6,8
包头,12小时累计降水量,-0.0,-,-,0.0,2.3,1.4
包头,最大小时降水量,-0.0,-,-,0.0,0.7,0.4
包头,最大风力等级,10,-,-,55,4,7
乌海,12小时累计降水量,-0.0,-,-,0.0,3.5,2.1
乌海,最大小时降水量,-0.0,-,-,0.0,1.4,0.9
乌海,最大风力等级,12,-,-,55,7,8
赤峰,12小时累计降水量,-0.0,-,-,0.0,3.1,1.9
赤峰,最大小时降水量,-0.0,-,-,0.0,1.2,0.7
赤峰,最大风力等级,5,-,-,109,4,9
通辽,12小时累计降水量,-0.0,-,-,0.0,4.0,2.4
通辽,最大小时降水量,-0.0,-,-,0.0,1.8,1.1
通辽,最大风力等级,12,-,-,110,4,10
鄂尔多斯,12小时累计降水量,-0.0,-,-,0.0,4.4,2.6
鄂尔多斯,最大小时降水量,-0.0,-,-,0.0,1.9,1.2
鄂尔多斯,最大风力等级,3,-,-,55,4,6
呼伦贝尔,12小时累计降水量,-0.0,-,-,0.0,3.4,2.0
呼伦贝尔,最大小时降水量,-0.0,-,-,0.0,1.0,0.6
呼伦贝尔,最大风力等级,4,-,-,115,6,9
巴彦淖尔,12小时累计降水量,-0.0,-,-,0.0,1.4,0.8
巴彦淖尔,最大小时降水量,-0.0,-,-,0.0,0.5,0.3
巴彦淖尔,最大风力等级,6,-,-,56,7,14
乌兰察布,12小时累计降水量,-0.0,-,-,0.0,2.0,1.2
乌兰察布,最大小时降水量,-0.0,-,-,0.0,0.6,0.4
乌兰察布,最大风力等级,10,-,-,56,6,7
兴安盟,12小时累计降水量,-0.0,-,-,0.0,3.8,2.3
兴安盟,最大小时降水量,-0.0,-,-,0.0,1.6,1.0
兴安盟,最大风力等级,6,-,-,112,6,9
锡林郭勒,12小时累计降水量,-0.0,-,-,0.0,1.4,0.9
锡林郭勒,最大小时降水量,-0.0,-,-,0.0,0.5,0.3
锡林郭勒,最大风力等级,9,-,-,110,5,10
阿拉善,12小时累计降水量,-0.0,-,-,0.0,3.5,2.1
阿拉善,最大小时降水量,-0.0,-,-,0.0,1.0,0.6
阿拉善,最大风力等级,5,-,-,3,5,5
